"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
306,2.09740968356923e-08,2.09247650181544e-08,2.49096466222633e-08,2.62839317065809e-08,1.57918141050037e-08,1.59478836196578e-08,1.58916000476749e-08,1.95281917591145e-08,2.03375114372994e-08,1.95307280706324e-08
309,2.11568104097309e-08,2.1106846389369e-08,2.51312114210158e-08,2.65157104995847e-08,1.59278781418771e-08,1.60825873549697e-08,1.60264627917132e-08,1.9700009641995e-08,2.05178917212826e-08,1.97008036679899e-08
312,2.13374977766329e-08,2.12882700782973e-08,2.53529224559147e-08,2.67445354527235e-08,1.60631886788975e-08,1.62174726624952e-08,1.61616662586004e-08,1.98706893348818e-08,2.06975532421139e-08,1.98681246758376e-08
315,2.15204401017415e-08,2.14684677258424e-08,2.5574617402775e-08,2.69770637698472e-08,1.61977237556895e-08,1.63518711166622e-08,1.62965557879106e-08,2.00405589858774e-08,2.08757605125548e-08,2.00406652959105e-08
318,2.17003939595342e-08,2.16597644085975e-08,2.58028478322654e-08,2.72158580170572e-08,1.63304139481009e-08,1.64851828692895e-08,1.64307151258758e-08,2.02139979519861e-08,2.10622211796708e-08,2.02194495360263e-08
321,2.18969870188812e-08,2.18424645581469e-08,2.60572047108639e-08,2.74752258690074e-08,1.64542974269411e-08,1.66097642552397e-08,1.65655763798724e-08,2.04035383784191e-08,2.12625061694119e-08,2.04090206894692e-08
324,2.20780282925297e-08,2.20229952986331e-08,2.62854507671028e-08,2.77102446217711e-08,1.65900975490631e-08,1.67453661663499e-08,1.66885254961894e-08,2.05668371354333e-08,2.14357089559734e-08,2.05721805620897e-08
327,2.22601700595828e-08,2.22029889307378e-08,2.65130046552647e-08,2.79435132525406e-08,1.67253237213463e-08,1.68818725681967e-08,1.68226801511666e-08,2.07418020124568e-08,2.16209315401481e-08,2.07454543124056e-08
330,2.24418157987441e-08,2.23831228367446e-08,2.67405721062649e-08,2.8177501550321e-08,1.68603360726581e-08,1.70151937222771e-08,1.69563442276811e-08,2.0917050490905e-08,2.18052239031966e-08,2.09185899391067e-08
333,2.2624073143053e-08,2.25617370084218e-08,2.69650961743026e-08,2.84103630924929e-08,1.69946479270255e-08,1.71487293359182e-08,1.70892900686608e-08,2.10912591115509e-08,2.19885443713475e-08,2.1090786046274e-08
336,2.28058452042668e-08,2.27417827959152e-08,2.71924924471209e-08,2.86438686265589e-08,1.71176057707291e-08,1.72702975739083e-08,1.72230341816963e-08,2.12687880244065e-08,2.21750944722361e-08,2.12645292393656e-08
339,2.29879217249548e-08,2.29221376182594e-08,2.74333460460334e-08,2.88804416816144e-08,1.72510774899667e-08,1.74034309827454e-08,1.7344811947919e-08,2.14401217042903e-08,2.2357612572362e-08,2.14366538333272e-08
342,2.31700375489787e-08,2.31026234314135e-08,2.76608815274864e-08,2.91313164547458e-08,1.73842660658206e-08,1.75367243227156e-08,1.74787102093072e-08,2.16121820969755e-08,2.25419185026321e-08,2.16099485050597e-08
345,2.33504917820646e-08,2.3286212171312e-08,2.78884449349075e-08,2.93691307889256e-08,1.75177067780019e-08,1.76699641276192e-08,1.76128306997588e-08,2.17718185917164e-08,2.27119560690597e-08,2.17690174165616e-08
348,2.35349866949746e-08,2.34773299242349e-08,2.81176160019864e-08,2.9607894948605e-08,1.76496451379876e-08,1.78057330652989e-08,1.77459371459381e-08,2.19498958147483e-08,2.28981218498655e-08,2.19432417177036e-08
351,2.3730164692851e-08,2.36584606642814e-08,2.8345625256124e-08,2.98439562802348e-08,1.77730416925148e-08,1.79306928153874e-08,1.78808840773275e-08,2.21249010130473e-08,2.30823007723441e-08,2.21166455611918e-08
354,2.3911300372264e-08,2.38385231046503e-08,2.85815210058519e-08,3.00881647452174e-08,1.79068538153068e-08,1.80652493558741e-08,1.80031159869478e-08,2.23070633222949e-08,2.32757857099796e-08,2.23014378826982e-08
357,2.4095884459919e-08,2.40219350406155e-08,2.88093400011688e-08,3.03273112119941e-08,1.80442972759426e-08,1.82026245584132e-08,1.81412620022044e-08,2.24862324742104e-08,2.3463911341466e-08,2.24778764304933e-08
360,2.42774409183011e-08,2.42005098122979e-08,2.90501382114717e-08,3.05746573849353e-08,1.81785723049959e-08,1.83358215778362e-08,1.82746666695695e-08,2.26608182720716e-08,2.36470238634157e-08,2.26507398251858e-08
363,2.44599576575578e-08,2.4381240068405e-08,2.92768913867304e-08,3.08120569684853e-08,1.83125630199185e-08,1.84690364068043e-08,1.8408237583006e-08,2.2834585091571e-08,2.38298598422772e-08,2.28228997530954e-08
366,2.46415546209965e-08,2.45590859401847e-08,2.9503828123632e-08,3.10504373493666e-08,1.84444932201525e-08,1.86013417427532e-08,1.85410949793727e-08,2.29948127959586e-08,2.39988096641045e-08,2.29976661936525e-08
