learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
128.0,0.97474915,1.5463339333416285E-8,128.0,77.34375,43.82566585956417,128.0,65360.0,10.0,1.0,0.0
129.0,0.981380424,1.5575465415142903E-8,129.0,77.51937984496125,43.98862105105557,129.0,65360.0,10.0,1.0,0.0
130.0,0.988074796,1.568865840068088E-8,130.0,77.6923076923077,44.148148148148145,130.0,65360.0,10.0,1.0,0.0
131.0,0.994152864,1.5791430499874482E-8,131.0,77.86259541984732,44.30435420026386,131.0,65360.0,10.0,1.0,0.0
132.0,1.001014282,1.590744801256186E-8,132.0,78.03030303030303,44.45734184561809,132.0,65360.0,10.0,1.0,0.0
133.0,1.007749388,1.6021329756219783E-8,133.0,78.19548872180451,44.6072095361195,133.0,65360.0,10.0,1.0,0.0
134.0,1.0144141,1.6134021230346227E-8,134.0,78.35820895522389,44.75405174864943,134.0,65360.0,10.0,1.0,0.0
135.0,1.020395178,1.6235153356788487E-8,135.0,78.51851851851852,44.89795918367349,135.0,65360.0,10.0,1.0,0.0
136.0,1.027168112,1.634967472194592E-8,136.0,78.67647058823529,45.039018952062435,136.0,65360.0,10.0,1.0,0.0
137.0,1.03381497,1.646206430852208E-8,137.0,78.83211678832117,45.17731475093143,137.0,65360.0,10.0,1.0,0.0
138.0,1.039786118,1.6563028531784417E-8,138.0,78.98550724637681,45.31292702924295,138.0,65360.0,10.0,1.0,0.0
139.0,1.04638825,1.667466186079509E-8,139.0,79.13669064748201,45.44593314386248,139.0,65360.0,10.0,1.0,0.0
140.0,1.053220692,1.6790189427607194E-8,140.0,79.28571428571428,45.5764075067024,140.0,65360.0,10.0,1.0,0.0
141.0,1.059920454,1.69034735509236E-8,141.0,79.43262411347519,45.704421723542694,141.0,65360.0,10.0,1.0,0.0
142.0,1.065816142,1.7003161845287945E-8,142.0,79.5774647887324,45.83004472507237,142.0,65360.0,10.0,1.0,0.0
143.0,1.072382652,1.7114192853344413E-8,143.0,79.72027972027972,45.953342890655534,143.0,65360.0,10.0,1.0,0.0
144.0,1.079002754,1.7226130031312108E-8,144.0,79.16666666666666,44.799386659851756,144.0,65360.0,10.0,1.0,0.0
145.0,1.08551045,1.7336166572336953E-8,145.0,78.62068965517241,43.6787370003759,145.0,65360.0,10.0,1.0,0.0
146.0,1.091411012,1.7435937279601497E-8,146.0,78.76712328767124,43.804320834368035,146.0,65360.0,10.0,1.0,0.0
147.0,1.097933694,1.7546227214085993E-8,147.0,78.2312925170068,42.717973697028725,147.0,65360.0,10.0,1.0,0.0
148.0,1.104681588,1.7660325185927684E-8,148.0,78.37837837837837,42.84335022930244,148.0,65360.0,10.0,1.0,0.0
149.0,1.111339198,1.777289657461769E-8,149.0,78.52348993288591,42.96650717703348,149.0,65360.0,10.0,1.0,0.0
150.0,1.117374368,1.787494332531055E-8,150.0,78.66666666666666,43.087502964192545,150.0,65360.0,10.0,1.0,0.0
151.0,1.124005278,1.7987063252278104E-8,151.0,78.80794701986756,44.203233256351055,151.0,65360.0,10.0,1.0,0.0
152.0,1.130733854,1.810083458226383E-8,152.0,78.94736842105263,44.32234432234433,152.0,65360.0,10.0,1.0,0.0
153.0,1.136758454,1.8202702608222366E-8,153.0,79.08496732026144,44.43940081706764,153.0,65360.0,10.0,1.0,0.0
154.0,1.143423368,1.8315397497901917E-8,154.0,78.57142857142857,43.39496547115169,154.0,65360.0,10.0,1.0,0.0
155.0,1.150151836,1.8429167001750337E-8,155.0,78.70967741935485,43.511871893981215,155.0,65360.0,10.0,1.0,0.0
