learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
546.0,1.436242773,4.434882337908775E-8,546.0,72.7106227106227,39.643890496327614,546.0,122352.0,10.0,0.0,541.3,13.464397498588637,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
553.0,1.449463681,4.476729882931541E-8,553.0,73.05605786618446,40.19625632353262,553.0,122352.0,10.0,0.0,546.4,12.580584688761935,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
560.0,1.466462513,4.530535520748129E-8,560.0,72.85714285714285,39.76534525949303,560.0,122352.0,10.0,0.0,558.5999999999999,12.858373838778286,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
567.0,1.479607475,4.5721426773154045E-8,567.0,73.01587301587301,40.13332689242065,567.0,122352.0,10.0,0.0,564.9,12.721329420395572,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
574.0,1.493316833,4.6155362911381625E-8,574.0,73.17073170731707,40.34713599308967,574.0,122352.0,10.0,0.0,570.2,12.688402403595004,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
581.0,1.506806673,4.658235074515969E-8,581.0,73.32185886402753,40.70062226319426,581.0,122352.0,10.0,0.0,575.5,12.630870472334395,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
588.0,1.522290799,4.707246281607281E-8,588.0,73.46938775510205,41.04581212401668,588.0,122352.0,10.0,0.0,583.9,12.84216146570004,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
595.0,1.535432321,4.74884254969739E-8,595.0,73.27731092436974,40.628824249270444,595.0,122352.0,10.0,0.0,595.3,12.051786405158179,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
602.0,1.549259071,4.792607739133965E-8,602.0,73.25581395348837,40.52624473816624,602.0,122352.0,10.0,0.0,602.6999999999998,12.039795125610171,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
609.0,1.564102143,4.8395898468527506E-8,609.0,73.39901477832512,40.72316085462279,609.0,122352.0,10.0,0.0,608.9,11.886920917078939,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
